#{"t_start": 1639234051.071176, "env_id": null}
r,l,t
-229.893366,60,2.144144
-220.412351,60,6.420962
-277.215451,60,10.041606
-136.991902,60,12.19419
-196.952785,60,15.194666
-174.470342,60,17.23135
-236.742293,60,19.818257
-191.672352,60,20.964824
-140.773034,60,23.561101
-193.693667,60,25.694539
-276.744858,60,28.283175
-163.806868,60,30.312474
-136.305024,60,32.885317
-162.246744,60,34.987313
-138.138317,60,37.595388
-135.544437,60,38.756795
-307.421454,60,40.779573
-178.65607,60,43.379637
-380.468726,60,45.485686
-186.208999,60,48.070241
-136.045924,60,50.110843
-127.341348,60,52.705122
-266.894334,60,54.764782
-257.339896,60,56.548363
-127.925088,60,58.594115
-279.489806,60,61.389803
-145.208703,60,63.429813
-267.31776,60,66.054189
-210.391752,60,68.15233
-123.744788,60,70.773317
-104.857887,60,72.805864
-198.12125,60,74.100696
-183.071736,60,76.711619
-173.888283,60,78.774934
-71.993155,60,81.377183
-67.102856,60,83.402
-137.871974,60,86.125919
-65.896178,60,88.245363
-135.89652,60,90.822192
-95.385877,60,91.977537
-81.643091,60,94.609352
-123.855147,60,96.68699
-119.779994,60,99.332746
-122.008804,60,101.3606
-87.192539,60,103.964923
-110.945815,60,106.000557
-93.564386,60,108.646678
-114.952622,60,109.804698
-99.215748,60,111.861465
-98.267385,60,114.471755
-79.360412,60,116.522475
-102.057015,60,119.170428
-180.753031,60,121.23191
-113.074235,60,123.852241
-94.343691,60,125.913883
-89.934862,60,127.628298
-100.771663,60,129.718249
-59.566739,60,132.364863
-122.508223,60,134.426544
-78.1104,60,137.033288
-84.535609,60,139.091677
-76.483487,60,141.70885
-120.596939,60,143.761571
-146.874765,60,144.933343
-97.255888,60,147.55216
-110.389849,60,149.607582
-156.073515,60,152.22211
-59.678687,60,154.261715
-65.778117,60,156.873486
-65.020333,60,158.939893
-53.95859,60,161.56097
-90.236535,60,162.859271
-57.528232,60,165.861516
-36.895512,60,167.897224
-20.552782,60,170.52877
-23.384543,60,172.737965
-66.565314,60,175.441192
-11.809643,60,177.464747
-42.413374,60,180.049192
-85.295823,60,181.19423
14.582551,60,183.266343
-8.080536,60,185.867728
-51.276898,60,187.893043
-12.717361,60,190.534865
-50.30015,60,192.585061
-27.921154,60,195.268734
-34.34608,60,197.288026
-59.326926,60,199.037772
-9.640051,60,201.094147
-10.853453,60,203.707633
-29.790764,60,205.770111
-26.106101,60,208.337593
-35.022067,60,210.370552
12.557862,60,212.937514
-53.201074,60,215.051619
-12.401807,60,216.222435
-40.72295,60,218.805009
-76.823052,60,220.827403
-87.404162,60,223.689874
-75.230873,60,226.007397
-118.493849,60,228.863302
-33.044953,60,231.047416
-72.641563,60,233.928094
-1.844897,60,235.195648
-133.39493,60,238.059454
-50.266815,60,240.546082
-62.117632,60,243.410987
0.943457,60,245.618144
-50.36983,60,248.501287
-75.537998,60,250.616248
-46.430203,60,253.208429
1.972425,60,254.370045
-60.093975,60,256.411782
-20.995057,60,259.059664
-45.188745,60,261.081057
-50.328977,60,263.673801
-155.614433,60,265.713442
-90.17855,60,268.327603
-48.163647,60,270.376296
-4.994786,60,272.073092
-14.612199,60,274.134043
-38.910286,60,276.73342
-9.454103,60,278.800641
-27.442317,60,281.371094
-121.778845,60,283.400333
-41.132644,60,285.997155
-65.507096,60,288.011758
-44.562219,60,289.200545
-24.88913,60,291.773123
-63.285659,60,293.794126
-30.612039,60,296.38609
-57.817018,60,298.408264
-39.162549,60,301.046792
-69.156827,60,303.069852
-67.751429,60,305.680671
-10.625748,60,306.828462
-1.824298,60,309.418138
-84.543841,60,311.447946
-149.507876,60,314.056605
-103.911947,60,316.090213
-65.839987,60,318.684184
-63.121276,60,320.754061
-45.714986,60,323.337073
-8.959035,60,324.496641
5.488307,60,326.528754
-16.421281,60,329.114548
-20.737205,60,331.149925
21.17931,60,333.724437
-12.446621,60,335.785356
-29.072037,60,338.393573
6.42775,60,340.419143
-41.744982,60,342.170496
-40.452063,60,344.21375
-19.197634,60,346.814426
-10.603321,60,348.848181
-52.466441,60,351.461537
11.612597,60,353.525737
-39.356037,60,356.133606
6.60983,60,358.154314
-171.938009,60,359.307511
37.294788,60,361.909764
15.029284,60,363.995449
-7.350806,60,366.607788
-47.049607,60,368.638056
7.583111,60,371.232958
-54.147049,60,373.291019
-102.235442,60,376.080606
-33.712657,60,377.228484
-43.658796,60,379.846446
-8.443144,60,381.875168
-82.834818,60,384.597701
-13.301622,60,386.636978
-10.89095,60,389.229988
0.726988,60,391.247414
-72.816295,60,393.911066
11.488337,60,395.091597
17.530134,60,397.142492
-36.749138,60,399.723074
-142.730213,60,401.736883
-35.279168,60,404.345163
-10.775184,60,406.403802
-28.807695,60,408.987826
-54.296449,60,411.003534
-55.634668,60,412.690213
-6.371011,60,414.752481
-8.664826,60,417.386421
5.836868,60,419.410321
-38.049624,60,421.991834
-56.618736,60,424.027391
-56.128449,60,426.714553
52.581167,60,428.74457
-28.825166,60,429.882036
-41.898916,60,432.461878
-73.540152,60,434.505114
8.236329,60,437.140896
21.622242,60,439.185629
-79.744627,60,441.75955
1.640134,60,443.788727
-8.430102,60,446.397478
-26.475695,60,447.588129
0.329285,60,450.205689
-4.879297,60,452.2329
-66.731164,60,454.861765
-21.531666,60,457.012168
-9.628709,60,459.658724
-42.898659,60,461.700901
-47.503608,60,464.31467
35.767737,60,465.477275
32.059384,60,467.535549
2.278125,60,470.195906
11.213028,60,472.254253
-85.021637,60,474.858548
-74.799835,60,476.909339
-59.805173,60,479.536554
0.632365,60,481.577573
-63.306568,60,483.273091
-18.306082,60,485.340609
4.850102,60,487.925384
-22.545971,60,490.111074
-3.671572,60,492.729075
39.197348,60,494.771496
-88.708223,60,497.377326
-63.890685,60,499.471677
-52.896777,60,500.632731
