#{"t_start": 1639234051.049802, "env_id": null}
r,l,t
-236.966481,60,2.164043
-178.334828,60,6.439627
-169.331299,60,10.060404
-216.458959,60,12.214168
-178.10082,60,15.214621
-166.282986,60,17.251288
-172.288341,60,19.83821
-185.304258,60,20.984738
-104.783576,60,23.581037
-195.95462,60,25.714532
-146.713467,60,28.303151
-170.028466,60,30.332299
-211.005776,60,32.905278
-186.810756,60,35.007292
-147.849037,60,37.615365
-218.133395,60,38.776602
-127.454846,60,40.799508
-171.105519,60,43.399551
-195.995784,60,45.505681
-227.818447,60,48.090283
-241.840301,60,50.130828
-220.980412,60,52.725054
-181.866418,60,54.784778
-187.784673,60,56.568322
-183.92149,60,58.614135
-189.856681,60,61.40967
-138.585427,60,63.449703
-172.823512,60,66.074046
-189.825451,60,68.172262
-206.546321,60,70.793293
-153.978261,60,72.825834
-206.103678,60,74.1206
-172.019139,60,76.73161
-171.27135,60,78.794905
-123.395881,60,81.397128
-127.266224,60,83.42195
-152.601045,60,86.145625
-104.542937,60,88.265312
-155.561101,60,90.842145
-251.032323,60,91.997462
-114.230358,60,94.629301
-82.034574,60,96.705841
-71.226968,60,99.352665
-98.767947,60,101.380549
-132.645976,60,103.984811
-141.439666,60,106.020398
-76.504002,60,108.66667
-117.942459,60,109.824634
-145.895342,60,111.880959
-181.917922,60,114.491724
-171.229422,60,116.542398
-59.515802,60,119.19038
-58.911731,60,121.251851
-105.703355,60,123.872162
-83.119595,60,125.933719
-152.241408,60,127.648231
-106.950512,60,129.738202
-93.972634,60,132.384685
-104.333234,60,134.446518
-95.607353,60,137.052821
-118.129057,60,139.111639
-104.057616,60,141.728798
-86.84024,60,143.781522
-137.901564,60,144.953227
-86.380891,60,147.572091
-148.862401,60,149.627519
-96.223597,60,152.242062
-43.104807,60,154.281634
-69.632914,60,156.893287
-48.709752,60,158.959856
-47.329205,60,161.58091
-68.762828,60,162.878841
-74.712034,60,165.881384
-149.870195,60,167.917156
-37.868166,60,170.548718
-31.462858,60,172.756351
-44.32897,60,175.461115
-1.328466,60,177.484701
10.344878,60,180.069114
-73.820936,60,181.214173
-92.477186,60,183.286219
-34.796842,60,185.887653
-33.831686,60,187.912987
-60.431111,60,190.554763
-110.111199,60,192.60501
-82.99411,60,195.288683
-63.712568,60,197.307991
-102.635786,60,199.057726
-81.37952,60,201.114075
-108.612763,60,203.727505
-100.070524,60,205.790021
-6.727226,60,208.357532
-6.115367,60,210.390502
-155.06852,60,212.957466
-21.920588,60,215.071543
-37.05888,60,216.241609
-3.686539,60,218.824945
-32.818446,60,220.847259
-22.376086,60,223.709811
-19.507976,60,226.022828
-30.655519,60,228.882934
-98.642534,60,231.067349
-28.755835,60,233.948074
-84.394336,60,235.215516
-21.833583,60,238.079374
-52.932343,60,240.56592
-123.343625,60,243.43094
-100.078798,60,245.63808
-73.516173,60,248.521231
-72.500512,60,250.636131
-7.373535,60,253.228358
-124.857456,60,254.389993
-28.436467,60,256.431663
2.496359,60,259.079594
-39.541245,60,261.10103
-45.287483,60,263.693752
-64.970054,60,265.733373
-41.457053,60,268.347561
22.030384,60,270.396243
-21.727635,60,272.093046
-32.171551,60,274.153982
-33.068536,60,276.752667
-16.908469,60,278.820518
-18.106482,60,281.390972
-56.227388,60,283.420188
-66.525871,60,286.017078
2.875447,60,288.031691
-52.030987,60,289.220503
-69.323676,60,291.793063
-40.987318,60,293.813453
-41.522038,60,296.405961
-65.789808,60,298.428122
-21.840013,60,301.066725
-139.745654,60,303.089808
-71.066839,60,305.700594
-111.255053,60,306.848397
-42.280233,60,309.438
-64.743948,60,311.467883
-9.122668,60,314.076539
-27.105317,60,316.110133
-103.132171,60,318.703943
-45.3451,60,320.773633
-70.763631,60,323.357017
-53.249502,60,324.51659
0.779259,60,326.548689
-88.278254,60,329.134496
-124.266236,60,331.169858
-50.054771,60,333.74438
-110.791316,60,335.80528
-24.088652,60,338.413535
-71.654247,60,340.438888
-71.161322,60,342.19039
-19.678513,60,344.233623
-71.840212,60,346.834368
