#{"t_start": 1639234051.034442, "env_id": null}
r,l,t
-255.224842,60,2.178625
-197.25669,60,6.4542
-116.505508,60,10.074459
-211.338435,60,12.228749
-288.443892,60,15.229196
-269.007114,60,17.265866
-160.11154,60,19.852772
-208.588766,60,20.999263
-117.993031,60,23.595333
-230.931356,60,25.729152
-271.814477,60,28.317745
-221.678522,60,30.346897
-196.472534,60,32.919874
-167.667298,60,35.021868
-302.780054,60,37.629947
-143.248515,60,38.791193
-158.882591,60,40.814085
-115.416933,60,43.414108
-205.157945,60,45.520275
-120.630459,60,48.10491
-165.668128,60,50.145285
-219.002098,60,52.739623
-218.250932,60,54.799375
-91.120663,60,56.582912
-226.763374,60,58.628732
-145.131534,60,61.424242
-244.524531,60,63.464265
-203.057908,60,66.088567
-163.682779,60,68.186843
-314.798242,60,70.807841
-107.918058,60,72.840463
-85.864387,60,74.13519
-152.144276,60,76.746216
-191.140616,60,78.809484
-84.776011,60,81.411719
-139.482363,60,83.436536
-167.97949,60,86.160062
-123.007653,60,88.2799
-62.917069,60,90.856731
-78.059791,60,92.012049
-46.364804,60,94.643892
-104.858018,60,96.720391
-132.279539,60,99.367237
-94.15428,60,101.395133
-98.455003,60,103.999396
-63.131888,60,106.034987
-111.697581,60,108.681263
-109.019399,60,109.839237
-64.658797,60,111.895298
-174.309223,60,114.506317
-139.556655,60,116.556988
-107.618398,60,119.204972
-116.602358,60,121.266432
-132.76605,60,123.886745
-165.148171,60,125.948287
-181.445117,60,127.662816
-133.101469,60,129.75278
-59.48245,60,132.399204
-76.936875,60,134.461096
-104.388196,60,137.067406
-93.22497,60,139.126231
-95.284872,60,141.743404
-85.455285,60,143.79611
-87.209301,60,144.967805
-151.937378,60,147.586678
-135.239287,60,149.642087
-89.924119,60,152.256649
-122.812518,60,154.296208
-53.244578,60,156.907865
-92.31016,60,158.974457
-58.440892,60,161.595502
-70.808529,60,162.893167
-120.479666,60,165.895626
-127.213691,60,167.931729
-146.23728,60,170.563311
-24.351859,60,172.769026
-60.18765,60,175.475686
-122.260276,60,177.499317
-30.885604,60,180.083645
-17.051331,60,181.228756
-106.198271,60,183.300673
-31.668203,60,185.902194
-103.233189,60,187.92757
-60.577132,60,190.569293
21.266022,60,192.619629
-18.585154,60,195.303272
-115.281936,60,197.32258
-40.414007,60,199.072317
-119.056013,60,201.128637
-19.153853,60,203.742087
-28.753324,60,205.804553
-28.798623,60,208.372105
-0.658458,60,210.405089
-12.719814,60,212.972088
-63.87605,60,215.086101
35.908712,60,216.256143
-22.809127,60,218.839519
-65.938273,60,220.861839
-38.042336,60,223.72439
-31.284689,60,226.033917
-5.715491,60,228.897513
-53.593062,60,231.081915
5.013767,60,233.96267
0.021719,60,235.230048
-49.046845,60,238.093958
-107.522656,60,240.580449
0.745422,60,243.445533
-78.60238,60,245.651791
-99.76343,60,248.535812
-29.551715,60,250.650583
-10.81317,60,253.242924
-28.773435,60,254.404578
-31.392219,60,256.446196
-45.281783,60,259.094163
-61.654475,60,261.115602
-75.898012,60,263.708339
-48.663033,60,265.747978
-35.722768,60,268.362159
-62.100456,60,270.410828
0.141374,60,272.107631
-21.117967,60,274.16856
-14.558134,60,276.767224
-17.469509,60,278.835106
-0.26484,60,281.405546
-146.708105,60,283.434736
-53.893568,60,286.031669
-25.259206,60,288.046265
-70.806396,60,289.235091
-36.46503,60,291.80765
-2.638984,60,293.827787
-64.983913,60,296.420546
-82.041827,60,298.442681
23.841508,60,301.081288
-86.457915,60,303.104378
-38.076379,60,305.715182
-60.667128,60,306.862984
-28.090804,60,309.452568
-80.997197,60,311.482464
21.467632,60,314.091107
-99.550305,60,316.12471
3.942105,60,318.718534
-34.824115,60,320.788224
28.944727,60,323.371603
-54.363263,60,324.531159
-75.97036,60,326.563247
-42.387348,60,329.149084
-34.328889,60,331.184426
-28.536084,60,333.758961
-50.26731,60,335.819851
-46.40513,60,338.428128
-22.979275,60,340.453483
-110.941698,60,342.204981
-56.736961,60,344.248215
-17.945141,60,346.848955
7.905613,60,348.882702
-0.676032,60,351.495841
-11.849734,60,353.560194
-46.536589,60,356.168102
-80.163677,60,358.188878
-32.122084,60,359.342068
-25.109047,60,361.94422
-8.927683,60,364.030038
-0.377891,60,366.640574
-34.806698,60,368.67255
-101.773211,60,371.267497
-1.42156,60,373.325527
-105.92281,60,376.115121
-50.98427,60,377.262977
-114.862913,60,379.880932
-45.413591,60,381.909714
-36.685407,60,384.632209
-45.180739,60,386.671548
-48.976368,60,389.264524
-25.998141,60,391.281944
-63.974518,60,393.944118
-0.612559,60,395.126155
-22.073832,60,397.177015
-60.049436,60,399.757534
13.0811,60,401.771402
-20.90911,60,404.379635
-45.130297,60,406.438351
-15.79978,60,409.02237
-89.383113,60,411.038065
-3.80757,60,412.724756
1.706188,60,414.786825
-22.285961,60,417.420721
4.383283,60,419.444854
-20.747823,60,422.026375
-60.191943,60,424.061774
-12.02911,60,426.737454
30.434399,60,428.779113
-20.771134,60,429.916584
-1.750498,60,432.496411
-73.742139,60,434.539587
8.026546,60,437.175383
3.799506,60,439.220158
26.680585,60,441.794047
18.807263,60,443.823253
-4.441572,60,446.431757
18.213044,60,447.622669
-12.450745,60,450.240206
-40.930345,60,452.267395
-10.627214,60,454.896307
-56.624833,60,457.046564
-39.132702,60,459.693229
-12.183361,60,461.735431
-15.655644,60,464.349231
-96.302673,60,465.511846
-54.01736,60,467.569899
11.268232,60,470.230438
-63.537818,60,472.288778
-12.850118,60,474.893058
23.625553,60,476.943784
15.853275,60,479.5711
-76.318775,60,481.612105
-3.800523,60,483.30763
22.087524,60,485.375153
-6.259757,60,487.959863
7.929091,60,490.145618
-35.48135,60,492.763533
-36.339153,60,494.806004
-25.047659,60,497.411827
-5.182553,60,499.50592
28.530413,60,500.667272
-13.164353,60,503.26728
-6.611529,60,505.322999
-11.076838,60,507.895272
21.448154,60,509.947664
8.350804,60,512.549996
-37.940429,60,514.605665
31.184087,60,517.214598
-33.782152,60,518.365245
-10.486732,60,520.992453
-5.52018,60,523.018167
-62.29013,60,525.62881
-2.44779,60,527.665546
-15.94621,60,530.241551
15.661388,60,532.30753
26.79528,60,534.92634
-24.026584,60,536.102451
-30.946104,60,538.150443
25.568545,60,540.76015
5.284256,60,542.839631
-7.54171,60,545.484897
-8.063877,60,547.552949
12.25981,60,550.162077
-35.004981,60,552.239942
-14.222624,60,553.976949
21.142953,60,556.009707
-0.057096,60,558.595622
-8.460432,60,560.653253
-26.383475,60,563.283077
-20.08139,60,565.363243
-18.625418,60,567.956373
-153.143237,60,569.991558
-16.352769,60,571.133998
-19.202239,60,573.766351
28.544071,60,575.83444
-1.861194,60,578.438052
-27.909253,60,580.459533
-17.030997,60,583.049106
-22.86518,60,585.159506
28.08166,60,587.730732
-51.833199,60,588.878985
-28.484303,60,591.473887
25.205635,60,593.493671
-6.769919,60,596.148457
-12.975169,60,598.174052
29.062744,60,600.767667
14.322031,60,602.799546
16.728694,60,605.524597
-22.723122,60,606.676823
-6.27657,60,608.697999
0.635944,60,611.272911
8.778351,60,613.2935
39.937238,60,615.932583
27.337547,60,617.948425
-22.030045,60,620.522329
-9.936091,60,622.544348
14.335096,60,624.253221
5.817521,60,626.327249
57.804595,60,628.90677
22.251403,60,630.937719
-10.680158,60,633.516494
43.902158,60,635.589413
-51.569013,60,638.231363
31.808328,60,640.247613
-13.278326,60,641.392035
1.637365,60,643.974886
3.770729,60,646.014316
22.974944,60,648.631342
1.235359,60,650.666928
17.341294,60,653.258619
-1.14673,60,655.299186
-30.803745,60,657.905785
7.21796,60,659.05479
27.126887,60,661.651184
-47.009236,60,663.671372
-5.292193,60,666.276521
22.651497,60,668.337346
32.76466,60,670.914817
-32.10415,60,672.944095
55.446175,60,675.673664
14.495191,60,676.81593
35.25396,60,678.897705
10.420973,60,681.491052
-11.258299,60,683.517392
-52.584399,60,686.120301
-50.286831,60,688.136917
11.630339,60,690.80974
