#{"t_start": 1639181709.7467341, "env_id": null}
r,l,t
46.413418,60,1366.302464
48.175318,60,1371.341908
39.564454,60,1375.418475
41.829145,60,1380.322049
48.128739,60,1384.727048
36.854736,60,1389.039876
45.365945,60,1391.243893
37.561239,60,1397.204768
46.209065,60,1401.555606
36.911275,60,1407.141474
47.640303,60,1411.161298
39.140156,60,1417.028964
43.24839,60,1421.338329
45.264896,60,1426.68884
41.926216,60,1428.924027
42.840288,60,1432.769185
38.942546,60,1438.897357
42.853278,60,1443.165868
47.20244,60,1447.486011
45.460297,60,1451.802788
42.676193,60,1456.550445
38.303543,60,1460.727077
46.230846,60,1464.246867
45.367803,60,1467.848284
36.344069,60,1473.261834
38.585395,60,1476.718374
45.284031,60,1482.42187
40.59329,60,1486.660304
32.012669,60,1491.110851
40.407089,60,1495.591265
43.172466,60,1497.827718
40.44525,60,1502.923319
43.796288,60,1507.353307
41.293717,60,1512.678709
42.849505,60,1516.835599
41.382558,60,1522.398098
33.956506,60,1526.820607
44.024937,60,1531.714911
38.221948,60,1534.212927
47.086032,60,1539.748928
39.47494,60,1544.225614
33.608833,60,1549.818995
43.404053,60,1553.255072
46.029881,60,1558.750812
41.729613,60,1562.519827
39.602051,60,1567.213997
38.674897,60,1569.753486
40.893372,60,1573.632716
46.485095,60,1579.049539
45.091902,60,1582.396523
44.221246,60,1587.265833
36.851699,60,1591.796457
43.26131,60,1596.429068
37.793848,60,1600.524484
35.837799,60,1604.614521
35.105812,60,1608.783014
48.30934,60,1614.215428
47.852144,60,1617.941232
47.616148,60,1623.671203
45.865617,60,1627.434975
44.753423,60,1632.981234
44.697853,60,1636.694668
38.308418,60,1639.183927
43.915425,60,1644.445655
47.347109,60,1648.338482
41.595661,60,1653.638558
45.901815,60,1657.694079
45.833546,60,1663.370281
42.764915,60,1667.863809
44.101574,60,1672.302972
41.193889,60,1674.738091
48.999558,60,1680.469199
51.055633,60,1684.669446
37.879591,60,1690.053984
46.355659,60,1693.790745
50.444931,60,1699.562832
47.583348,60,1703.635185
47.349963,60,1709.383798
44.289309,60,1711.285171
43.889247,60,1715.101168
43.625516,60,1720.607046
43.79662,60,1724.799382
33.693505,60,1730.210988
39.329058,60,1734.027405
50.39956,60,1739.189051
39.009367,60,1743.711727
41.082584,60,1746.800786
44.499121,60,1750.505756
44.049902,60,1755.842941
46.701774,60,1760.161244
39.846112,60,1765.409311
46.306734,60,1769.682529
48.078064,60,1775.004745
42.047163,60,1779.039543
52.774405,60,1781.579971
46.355485,60,1787.036561
46.138085,60,1790.612162
51.232564,60,1796.447472
48.767057,60,1800.239557
43.141189,60,1805.174632
38.200598,60,1809.316624
48.172193,60,1814.318573
46.856321,60,1816.68391
44.553783,60,1821.120652
33.86325,60,1825.539789
45.318819,60,1831.173949
44.747805,60,1834.821029
46.310969,60,1839.868592
49.429773,60,1843.364994
45.121185,60,1847.992094
40.325277,60,1850.417833
48.367796,60,1853.733448
48.750444,60,1858.583105
47.482356,60,1862.30768
43.328916,60,1867.224756
47.555861,60,1871.264583
46.822144,60,1876.78454
40.872939,60,1880.666032
45.319573,60,1884.458488
40.693709,60,1888.320807
41.509378,60,1893.714558
36.240756,60,1897.612923
44.864976,60,1903.310319
41.598052,60,1907.028584
42.06869,60,1911.73686
48.865077,60,1916.132273
43.032986,60,1918.33101
42.249032,60,1923.640245
49.951083,60,1928.151224
47.330197,60,1933.287335
47.958913,60,1937.249585
46.153706,60,1942.779239
43.20406,60,1946.638046
48.1135,60,1951.282258
44.982596,60,1953.117049
44.809847,60,1958.278158
47.05704,60,1962.063606
45.439836,60,1966.439138
39.827554,60,1970.811199
38.464525,60,1975.919993
43.853181,60,1979.955296
42.849314,60,1984.638441
42.822429,60,1986.669595
47.210635,60,1990.677909
35.931745,60,1995.630427
43.444625,60,2000.04918
46.373997,60,2005.788053
42.006456,60,2009.601147
47.240574,60,2015.1237
44.651468,60,2018.344854
45.826399,60,2021.922161
46.906132,60,2026.011708
37.160198,60,2030.443918
44.945093,60,2034.931034
47.130815,60,2040.170425
41.935171,60,2044.319913
42.838675,60,2049.856507
48.1817,60,2053.822917
46.860225,60,2056.084396
50.625723,60,2061.062507
43.798308,60,2064.665389
46.869506,60,2069.619651
44.376704,60,2073.133178
41.153657,60,2078.738393
29.945651,60,2082.686778
49.101372,60,2087.821948
43.904499,60,2090.079912
49.23059,60,2095.41501
38.707889,60,2099.909295
47.577452,60,2104.737196
48.032194,60,2108.604539
46.594306,60,2113.238215
47.061625,60,2117.05029
45.093157,60,2122.933118
45.741706,60,2125.478212
42.718625,60,2129.26332
43.057628,60,2135.264275
42.648827,60,2139.497779
46.86354,60,2144.682305
44.777322,60,2148.615938
46.814487,60,2153.686277
43.622485,60,2157.576884
46.752926,60,2160.52736
42.176233,60,2164.372068
46.335321,60,2169.168014
47.829147,60,2173.146397
42.973613,60,2177.868703
42.678358,60,2181.852804
46.948588,60,2187.276137
45.753222,60,2191.073835
47.371263,60,2193.055387
48.130565,60,2198.533768
47.21885,60,2202.244211
41.093865,60,2207.555498
49.122339,60,2211.637578
41.427693,60,2217.19379
48.543763,60,2221.457937
40.60292,60,2226.926435
37.59251,60,2229.247682
35.712255,60,2234.027701
48.347116,60,2238.119794
43.161154,60,2243.57222
49.166199,60,2247.686626
