#{"t_start": 1639181709.774197, "env_id": null}
r,l,t
22.649165,60,1.377296
36.759268,60,3.593239
35.973861,60,7.807407
25.409084,60,11.694121
26.006389,60,17.208639
33.277411,60,19.588376
24.248271,60,27.387833
29.329577,60,30.19466
24.087492,60,33.33563
32.598069,60,35.398154
40.136172,60,38.062775
28.046136,60,40.209486
39.719371,60,42.870859
26.288796,60,44.910404
38.210272,60,47.547494
30.035361,60,48.79711
32.066271,60,51.338436
32.473052,60,54.015124
35.851717,60,56.055403
37.42497,60,58.72625
39.408808,60,60.769304
40.086549,60,63.455265
44.799694,60,65.566635
38.584129,60,67.563423
33.116295,60,69.702745
43.487172,60,72.371412
41.706039,60,74.402909
38.510847,60,77.037894
28.757371,60,79.090472
36.093227,60,81.759247
45.294383,60,83.873861
33.392558,60,85.045827
31.872114,60,87.681132
36.167277,60,89.719446
42.501842,60,92.829695
40.738057,60,94.855593
46.554087,60,97.498756
43.02997,60,99.66579
36.390497,60,102.411973
46.968785,60,103.634222
36.491349,60,106.277778
31.556162,60,108.305382
31.284397,60,110.980493
44.113006,60,113.009006
43.663442,60,115.745076
42.494514,60,117.779978
36.663761,60,120.425741
32.210062,60,121.592058
46.117023,60,123.622388
39.755427,60,126.476542
28.20044,60,128.511236
36.650701,60,131.147158
38.10542,60,135.056387
41.518677,60,140.211226
38.384831,60,143.54317
42.481656,60,145.704883
40.998001,60,148.073078
33.716212,60,151.248801
39.858865,60,155.422519
31.178551,60,158.437768
36.739255,60,160.462005
34.399243,60,163.188123
35.280675,60,165.657794
42.708848,60,166.838852
49.402001,60,169.532628
39.900643,60,171.628288
32.802914,60,174.23832
24.290542,60,176.992342
43.341221,60,182.192316
42.67327,60,189.71374
43.486698,60,197.675024
37.155907,60,200.577383
37.965352,60,207.342932
39.186642,60,212.335029
35.326659,60,217.793883
42.199728,60,221.786075
42.824909,60,227.526029
40.893276,60,231.224093
28.18105,60,236.85986
38.957005,60,239.062316
40.368913,60,243.199256
48.181879,60,248.497517
42.546748,60,252.201752
47.120274,60,257.450438
42.188238,60,261.469211
44.857997,60,267.162341
39.484098,60,271.552294
46.191931,60,275.129708
47.585776,60,279.612245
44.771613,60,284.782524
39.813832,60,288.700476
42.041703,60,293.387917
38.985905,60,297.325039
37.796365,60,302.299609
46.897383,60,306.52822
40.06869,60,309.362896
39.852544,60,314.447041
46.123478,60,318.951759
36.815542,60,324.154401
32.642413,60,328.210155
38.417246,60,333.102169
44.042713,60,336.861535
45.273529,60,342.276994
46.864875,60,344.358815
37.044512,60,349.512458
39.792594,60,353.626799
37.839277,60,358.780633
30.02275,60,362.575058
38.239556,60,367.197257
33.284127,60,370.883015
40.39234,60,376.522011
36.379382,60,378.480661
40.370077,60,382.282131
39.018757,60,388.050751
44.081089,60,391.920141
44.389313,60,397.24347
40.920003,60,400.888481
47.114357,60,405.903988
41.39503,60,410.296023
47.717326,60,414.280834
36.528543,60,418.545461
35.455802,60,421.672991
32.452485,60,423.727181
36.132804,60,426.483655
41.662184,60,428.555883
40.184706,60,431.238004
40.717804,60,433.302531
49.109809,60,434.479878
37.711981,60,437.234177
40.321646,60,439.279646
41.539568,60,441.921193
38.975772,60,443.985552
39.061101,60,446.703726
35.902528,60,448.769617
36.822007,60,451.433357
41.991047,60,452.693778
44.913837,60,455.351559
44.66342,60,457.475798
44.79386,60,460.146885
40.517184,60,462.197756
