#{"t_start": 1639181709.7602592, "env_id": null}
r,l,t
25.292015,60,1.390334
27.581723,60,3.606258
29.839117,60,7.819682
25.330399,60,11.706876
25.814036,60,17.221605
25.301215,60,19.600926
27.437724,60,27.398488
28.466109,60,30.207736
32.917447,60,33.348658
33.829108,60,35.41119
37.188975,60,38.075849
27.020491,60,40.222453
41.270937,60,42.88394
27.733822,60,44.923478
33.645308,60,47.560591
27.82882,60,48.810167
33.724117,60,51.351518
26.994454,60,54.028106
29.895413,60,56.068493
35.250784,60,58.739295
44.075185,60,60.782346
44.532821,60,63.46836
37.964518,60,65.579601
34.592758,60,67.576494
27.403551,60,69.715803
38.071059,60,72.384476
32.595159,60,74.415961
42.149158,60,77.050986
39.972528,60,79.10351
38.131651,60,81.772261
37.336093,60,83.886951
40.304635,60,85.058838
36.956604,60,87.694164
46.253098,60,89.731981
35.892632,60,92.842781
43.691677,60,94.868614
36.707951,60,97.511807
39.526402,60,99.678851
35.217752,60,102.425063
29.199149,60,103.647309
48.155727,60,106.290829
32.029504,60,108.31845
34.858721,60,110.993563
36.297007,60,113.022085
38.815598,60,115.758167
45.379892,60,117.793059
34.839428,60,120.438804
25.633291,60,121.605132
43.944818,60,123.635474
46.318829,60,126.489571
38.849914,60,128.524289
29.467779,60,131.160257
27.626925,60,135.067001
35.288806,60,140.222268
40.998224,60,143.555476
33.820463,60,145.71792
41.252611,60,148.086136
37.329608,60,151.261874
41.458289,60,155.435598
37.167504,60,158.450853
29.984734,60,160.475089
38.735812,60,163.201206
36.262551,60,165.670881
38.871508,60,166.851901
38.12249,60,169.545665
36.577567,60,171.641362
40.589103,60,174.251403
41.546434,60,177.004924
40.424451,60,182.205388
38.293185,60,189.7215
41.042548,60,197.688056
39.433101,60,200.590456
38.039013,60,207.350136
39.878294,60,212.347672
41.282421,60,217.802499
34.247248,60,221.798996
42.990756,60,227.538865
39.158691,60,231.236237
37.561199,60,236.872797
33.822242,60,239.070432
44.301866,60,243.21226
49.383505,60,248.507499
43.055404,60,252.214064
50.136782,60,257.463428
43.754809,60,261.47699
45.667155,60,267.175226
41.393327,60,271.565172
37.200594,60,275.142682
42.261478,60,279.625151
39.655701,60,284.794248
50.680163,60,288.713472
40.339165,60,293.400891
39.258452,60,297.338044
46.175159,60,302.311334
29.823339,60,306.540632
37.62513,60,309.375883
46.833298,60,314.459989
37.425144,60,318.963379
34.720289,60,324.167384
40.949143,60,328.222542
39.246598,60,333.115117
30.930917,60,336.874522
40.034495,60,342.288238
40.628915,60,344.370527
30.263222,60,349.523864
23.431814,60,353.639804
42.241218,60,358.79356
38.874543,60,362.588039
44.059043,60,367.210259
46.220896,60,370.895394
44.248765,60,376.531887
40.033246,60,378.49368
43.567338,60,382.295096
38.943306,60,388.060352
44.44284,60,391.933119
33.17922,60,397.256546
43.071391,60,400.901477
38.706704,60,405.914119
43.083203,60,410.308791
52.531523,60,414.293803
36.368692,60,418.557508
41.294661,60,421.686027
41.920696,60,423.740266
44.371247,60,426.496738
43.121277,60,428.568909
44.700338,60,431.251089
38.163461,60,433.315605
46.634026,60,434.492959
41.144846,60,437.247256
32.273253,60,439.292694
49.485695,60,441.934193
42.605159,60,443.998019
37.913099,60,446.716484
33.246494,60,448.782702
35.775179,60,451.446421
36.604797,60,452.706779
45.228326,60,455.364638
42.841956,60,457.488848
45.995077,60,460.159963
39.522016,60,462.210839
42.050849,60,464.873082
38.108,60,466.946521
44.868392,60,469.644863
43.325306,60,470.824085
44.378796,60,472.87264
36.131814,60,475.545366
38.931678,60,477.610352
38.265258,60,480.328802
43.634015,60,482.398517
38.326366,60,485.053351
32.914314,60,487.108229
32.314454,60,488.935972
41.798436,60,490.986539
43.291946,60,493.674116
41.155015,60,495.72525
41.618582,60,498.402362
40.131921,60,500.475965
42.544465,60,503.152095
42.755783,60,505.231525
35.350292,60,506.42481
34.093189,60,509.162022
35.391982,60,513.487731
43.848726,60,518.536062
38.043601,60,522.676161
43.532221,60,527.991816
39.088156,60,532.375536
38.3798,60,537.557961
42.494053,60,539.912101
39.325774,60,545.079766
40.790333,60,548.562387
35.823846,60,554.027125
43.599307,60,557.818225
39.693356,60,562.466058
37.452308,60,566.541901
37.601239,60,570.769306
43.502442,60,572.784704
44.366689,60,577.10196
38.443258,60,582.684989
35.860681,60,586.284113
45.760937,60,591.300346
43.372497,60,595.273954
43.81978,60,600.354855
42.954504,60,604.691211
40.883611,60,608.477237
50.305428,60,612.394837
40.870861,60,617.383621
46.107762,60,621.552411
43.462908,60,626.968458
41.824873,60,631.260512
37.994884,60,636.413573
45.326148,60,640.565209
42.888712,60,642.944321
24.345682,60,648.083958
44.443068,60,652.12321
48.533642,60,657.47072
41.133075,60,661.619172
40.811142,60,666.744214
43.641722,60,670.629654
38.292735,60,675.497656
44.363332,60,677.422581
43.771946,60,681.954322
46.056434,60,685.776344
36.860001,60,690.954746
44.944719,60,694.968903
42.345851,60,700.027338
51.230353,60,703.624318
40.693744,60,708.415859
46.177462,60,710.541066
41.014481,60,714.957327
44.762302,60,720.482526
40.765255,60,723.921294
44.436071,60,728.971502
46.188478,60,732.976505
43.556573,60,738.702102
42.977535,60,742.49682
45.394505,60,746.06691
38.767457,60,750.420886
44.147296,60,755.829418
41.129851,60,759.874365
45.638768,60,765.175673
42.348341,60,769.396462
42.336607,60,774.829916
44.67235,60,778.491501
44.193539,60,780.982077
46.494816,60,786.20455
44.34177,60,790.223273
41.554488,60,796.048576
39.724406,60,799.623911
44.052312,60,804.974673
44.884684,60,808.831479
45.512252,60,813.983941
51.199819,60,816.249954
37.693997,60,821.381484
38.527759,60,825.400437
42.135805,60,830.023827
48.924317,60,834.080643
51.073329,60,839.064075
45.610634,60,843.138893
45.736545,60,847.930762
45.283416,60,849.952432
49.500221,60,853.805275
36.304714,60,859.7921
45.7924,60,863.200122
47.998899,60,868.788063
40.663956,60,872.762928
44.198954,60,877.30459
34.541352,60,881.752903
43.989295,60,885.441848
44.4573,60,889.86632
35.40238,60,895.208985
42.164468,60,899.284958
46.489368,60,903.997768
43.253541,60,908.097717
45.976323,60,913.178526
42.263243,60,916.845583
44.682749,60,919.250945
42.970521,60,924.847943
45.499633,60,928.522691
41.970218,60,934.323261
44.190633,60,938.575165
30.283,60,943.92503
41.268284,60,947.78191
43.125964,60,953.407836
44.799851,60,956.054801
41.25078,60,961.29684
49.927694,60,965.814508
45.428394,60,970.940585
43.77783,60,975.111219
28.727096,60,980.792718
38.75286,60,984.929031
46.446653,60,990.78589
46.133987,60,993.141286
40.156426,60,997.577213
43.080222,60,1002.492882
47.77502,60,1006.294086
41.081387,60,1012.085039
44.893806,60,1016.225322
37.902106,60,1021.787744
45.729468,60,1025.713186
