#{"t_start": 1639181709.734143, "env_id": null}
r,l,t
26.77566,60,1.414586
29.429072,60,3.63052
26.729908,60,7.841966
20.418227,60,11.731114
31.840321,60,17.24323
25.601718,60,19.625237
29.26461,60,27.417459
31.251235,60,30.232039
33.727821,60,33.372891
35.112106,60,35.435464
36.202635,60,38.100164
33.367273,60,40.246696
35.725883,60,42.908232
43.593479,60,44.94782
34.746177,60,47.584933
41.896176,60,48.834378
34.511629,60,51.375837
33.795052,60,54.05154
39.789629,60,56.092805
35.826515,60,58.763576
31.034695,60,60.806525
38.523854,60,63.492649
39.945097,60,65.603746
42.824708,60,67.6008
45.330625,60,69.74016
34.417556,60,72.40851
35.913128,60,74.440275
33.921723,60,77.075302
32.853349,60,79.127806
27.474628,60,81.795891
38.726128,60,83.911232
49.854623,60,85.08313
50.678248,60,87.71848
41.267464,60,89.755527
38.212235,60,92.867116
35.935819,60,94.892913
33.448453,60,97.536151
44.874556,60,99.703169
37.936329,60,102.449404
39.43027,60,103.671664
39.755988,60,106.31518
41.129915,60,108.342755
27.600776,60,111.017828
40.553692,60,113.046379
38.404467,60,115.782511
39.615497,60,117.817417
27.029347,60,120.463056
42.08591,60,121.629412
39.659663,60,123.659832
34.135255,60,126.51374
32.512526,60,128.548515
32.799673,60,131.184574
42.274149,60,135.083298
40.914473,60,140.243802
43.791022,60,143.57805
37.061694,60,145.742041
38.891202,60,148.109918
41.762755,60,151.286129
32.787499,60,155.459911
41.901974,60,158.475186
32.626981,60,160.499422
37.454167,60,163.225543
44.339609,60,165.695186
33.103737,60,166.876235
37.860762,60,169.569929
39.869613,60,171.665671
34.980599,60,174.275716
44.238843,60,177.029197
50.797284,60,182.229691
42.598468,60,189.742704
41.536055,60,197.711595
38.025614,60,200.614688
41.957202,60,207.37229
41.469444,60,212.371574
44.776006,60,217.826248
51.274043,60,221.821732
27.935054,60,227.562922
44.366775,60,231.251155
45.279532,60,236.896052
37.768899,60,239.088863
46.512219,60,243.236409
39.732033,60,248.526823
40.008012,60,252.229318
42.089261,60,257.487669
42.601133,60,261.498377
38.571201,60,267.199054
45.171047,60,271.587273
41.363037,60,275.161384
46.715042,60,279.649295
45.96651,60,284.812989
41.334546,60,288.737603
43.034629,60,293.423994
39.727295,60,297.362164
46.053268,60,302.335099
31.635599,60,306.563687
42.037315,60,309.396497
47.908983,60,314.482401
38.418748,60,318.984376
43.81125,60,324.191115
43.943759,60,328.246747
38.145148,60,333.139208
41.278755,60,336.898688
47.08504,60,342.30828
43.044903,60,344.390246
42.960902,60,349.543008
35.78789,60,353.663952
45.711797,60,358.817728
36.602227,60,362.612071
45.400471,60,367.234255
39.817752,60,370.919309
37.013359,60,376.555745
30.801579,60,378.516619
47.006839,60,382.314099
39.21973,60,388.080465
44.095452,60,391.949574
34.546751,60,397.280403
34.860546,60,400.925681
44.894917,60,405.936241
34.801243,60,410.33294
40.901102,60,414.287167
42.875438,60,418.578965
30.105192,60,421.710311
41.460873,60,423.764607
43.359787,60,426.520944
43.814452,60,428.593191
44.984019,60,431.275423
40.103557,60,433.339901
38.683052,60,434.517301
27.588479,60,437.27154
34.809229,60,439.316962
40.505859,60,441.958441
49.488957,60,444.020949
36.067148,60,446.740473
34.258618,60,448.80698
38.111153,60,451.47071
38.047024,60,452.729587
41.165955,60,455.388954
40.207485,60,457.512998
41.359272,60,460.184259
34.854805,60,462.235189
33.351662,60,464.897357
37.641972,60,466.970799
45.071373,60,469.669048
44.697499,60,470.848384
36.184808,60,472.896924
40.049051,60,475.569627
41.659562,60,477.634681
39.328219,60,480.353045
41.305257,60,482.42279
38.632704,60,485.077634
37.71924,60,487.132553
41.511248,60,488.958907
43.019807,60,491.010832
34.738766,60,493.698407
36.738243,60,495.749462
43.66115,60,498.426522
41.682485,60,500.500264
37.514323,60,503.176393
36.632351,60,505.253301
39.75655,60,506.449101
35.300732,60,509.1847
45.757213,60,513.511098
42.062233,60,518.560391
42.417309,60,522.69735
39.923208,60,528.015754
41.925959,60,532.399685
40.568028,60,537.581396
43.898519,60,539.936262
37.301855,60,545.103903
44.987964,60,548.581374
37.711353,60,554.05125
